id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
1,Consomme printaniere royal,,8,8,1897,1927,0.2,0.4
2,Chicken gumbo,,111,117,1895,1960,0.1,0.8
3,Tomato aux croutons,,14,14,1893,1917,0.25,0.4
4,Onion au gratin,,41,41,1900,1971,0.25,1.0
5,St. Emilion,,66,68,1881,1981,0.0,18.0
7,Radishes,,3263,3347,1854,2928,0.0,25.0
8,Chicken soup with rice,,48,49,1897,1961,0.1,0.6
9,Clam broth (cup),,14,16,1899,1962,0.15,0.4
10,"Cream of new asparagus, croutons",,2,2,1900,1900,0.0,0.0
11,Clear green turtle,,156,156,1893,1937,0.25,60.0
12,"Striped bass saute, meuniere",,2,2,1900,1900,0.0,0.0
13,Anchovies,,453,484,1858,1987,0.0,30.0
14,Fresh lobsters in every style,,4,4,1899,1900,0.0,0.0
15,Celery,,4249,4694,1,2928,0.0,50.0
16,Pim-olas,,145,148,1897,1918,0.15,35.0
17,Caviar,,506,535,1880,1987,0.0,75.0
18,Sardines,,1426,1484,1856,2928,0.0,50.0
19,India chutney,,16,16,1865,1901,0.1,0.2
20,Pickles,,453,472,1852,1987,0.0,10.0
21,English walnuts,,83,86,1851,1948,0.1,0.3
22,Pate de foies-gras,,9,9,1898,1901,1.0,1.0
23,Pomard,,11,11,1880,1950,0.75,5.0
24,"Brook trout, mountain style",,2,2,1900,1900,0.0,0.0
25,"Whitebait, sauce tartare",,4,4,1900,1901,0.3,0.75
26,Clams,,170,180,1881,1970,0.1,0.9
27,Oysters,,289,292,1862,1963,0.0,35.0
28,Claremont planked shad,,2,2,1899,1900,1.5,2.5
29,G. H. Mumm & Co's Extra Dry,,14,14,1895,1914,2.0,4.0
30,Cerealine with Milk,,1,1,1901,1901,0.0,0.0
31,Sliced Bananas,,221,239,1900,1987,0.0,15.0
32,Wheat Vitos,,3,3,1900,1900,0.0,0.0
33,Sliced Tomatoes,,1197,1258,1873,2928,0.0,25.0
34,Russian Caviare on Toast,,3,3,1900,1900,,
35,Smoked beef in cream,,21,21,1896,1933,0.3,0.9
38,Apple Sauce,,721,829,1,1987,0.0,20.0
39,Potage a la Victoria,,5,5,1899,1901,,
40,Breakfast,,28,28,1900,1967,0.25,1.0
41,Strawberries,,305,340,1854,1985,0.0,50.0
42,Preserved figs,,257,259,1889,1969,0.0,30.0
43,BLUE POINTS,,868,891,1881,1968,0.15,50.0
44,CONSOMME ANGLAISE,,5,5,1900,1907,0.2,0.25
45,CREAM OF CAULIFLOWER,,18,18,1899,1949,0.1,0.5
46,"BROILED SHAD, A LA MAITRE D'HOTEL",,6,6,1896,1900,0.0,0.0
47,SLICED CUCUMBERS,,455,458,1881,1964,0.0,25.0
48,SALTED ALMONDS,,767,776,1889,2012,0.0,10.0
49,"POTATOES, JULIEN",,3,3,1900,1900,0.0,0.0
50,Cracked Wheat,,120,124,1859,1917,0.1,0.3
51,Malt Breakfast Food,,63,64,1899,1917,0.1,0.35
52,"BOILED BEEF TONGUE, ITALIAN SAUCE",,3,3,1900,1900,0.0,0.0
53,Young Onions,,157,157,1894,1949,0.05,10.0
54,Pears,,631,650,1852,1974,0.0,50.0
55,"ROAST SIRLOIN OF BEEF, YORKSHIRE PUDDING",,11,12,1900,1974,0.0,0.75
57,Huhnerbruhe,,11,11,1900,1901,0.0,0.0
58,"ROAST EASTER LAMB, MINT SAUCE",,4,4,1899,1900,0.0,0.0
59,Rockaways,,157,162,1889,1948,0.2,50.0
60,Hafergrutze,,205,218,1899,1910,,
61,BROWNED POTATOES,,54,57,1893,1980,0.25,20.0
62,Pampelmuse,,30,30,1900,1910,0.0,0.0
63,Apfelsinen,,182,185,1899,1935,,
